GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DPPR API,asia.corelogic.dppr.service,PreferenceService,127,4,8,0,40,1,10,1,6,1
DPPR API,asia.corelogic.dppr.service,HubMigrationService,577,0,28,0,124,0,26,0,12,0
DPPR API,asia.corelogic.dppr.service,ReportService,257,4,18,0,68,1,15,1,6,1
DPPR API,asia.corelogic.dppr,DpprApplication,18,0,0,0,5,0,2,0,2,0
DPPR API,asia.corelogic.dppr.config,ClapiGatewayConfiguration,27,0,0,0,7,0,4,0,4,0
DPPR API,asia.corelogic.dppr.config,StatusConfiguration,8,0,0,0,3,0,3,0,3,0
DPPR API,asia.corelogic.dppr.config,SwaggerConfig,64,0,0,0,11,0,3,0,3,0
DPPR API,asia.corelogic.dppr.config,OauthSecurityConfiguration,22,0,0,0,2,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,ResourceInvalidException,25,0,0,0,8,0,6,0,6,0
DPPR API,asia.corelogic.dppr.exception,InvalidReportSectionFieldTypeException,11,0,0,0,4,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,InvalidFieldTypeException,25,0,0,0,6,0,4,0,4,0
DPPR API,asia.corelogic.dppr.exception,InvalidUserPermissionException,9,0,0,0,3,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,NotFoundException,9,0,0,0,3,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,SpringExceptionHandlerAdvice,187,0,2,0,45,0,21,0,20,0
DPPR API,asia.corelogic.dppr.domain.model.converter,EntityConverter,14,0,0,0,4,0,2,0,2,0
DPPR API,asia.corelogic.dppr.domain.model.converter,DTOConverter,14,0,0,0,4,0,2,0,2,0
DPPR API,asia.corelogic.dppr.domain.model.response,PagedReportResponse,0,108,0,0,0,33,0,3,0,3
DPPR API,asia.corelogic.dppr.annotation.validations,Base64ImageValidator,13,33,3,5,6,8,3,5,0,4
DPPR API,asia.corelogic.dppr.annotation.validations,HexColorValidator,4,39,2,4,1,13,2,4,0,3
DPPR API,asia.corelogic.dppr.annotation.validations,CaseMode,0,24,0,0,0,2,0,1,0,1
DPPR API,asia.corelogic.dppr.annotation.validations,CountryCodeInvalidValidator,2,9,1,1,1,3,1,2,0,2
DPPR API,asia.corelogic.dppr.annotation.validations,PageableValidator,23,0,2,0,6,0,4,0,3,0
DPPR API,asia.corelogic.dppr.annotation.validations,GeneralValidationImpl,91,0,15,0,29,0,13,0,5,0
DPPR API,asia.corelogic.dppr.util,DateTimeUtil,95,23,13,1,22,6,11,4,4,4
DPPR API,asia.corelogic.dppr.util,UUIDGeneratorUtil,5,0,0,0,2,0,2,0,2,0
DPPR API,asia.corelogic.dppr.util,Base64Util,15,0,0,0,3,0,1,0,1,0
DPPR API,asia.corelogic.dppr.adapter,PropertyDetailsGatewayAdapter,29,0,0,0,5,0,2,0,2,0
DPPR API,asia.corelogic.dppr.domain.model.converter.request,PreferenceReportSectionModelConverter,35,0,0,0,13,0,4,0,4,0
DPPR API,asia.corelogic.dppr.domain.model.converter.request,PreferenceModelConverter,30,0,0,0,12,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception.validations,Field,52,0,0,0,8,0,3,0,3,0
DPPR API,asia.corelogic.dppr.domain.model.converter.response,PreferenceResponseModelConverter,38,0,0,0,15,0,2,0,2,0
DPPR API,asia.corelogic.dppr.controller,HubMigrationController,10,0,0,0,2,0,2,0,2,0
DPPR API,asia.corelogic.dppr.controller,HelloWorldController,15,0,0,0,3,0,3,0,3,0
DPPR API,asia.corelogic.dppr.controller,PreferenceController,0,10,0,0,0,2,0,2,0,2
DPPR API,asia.corelogic.dppr.controller,ReportController,5,25,1,1,1,5,1,4,0,4
DPPR API,asia.corelogic.dppr.domain.model,CountryCode,19,47,2,2,5,6,4,2,2,2
