GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DPPR API,asia.corelogic.dppr.service,PreferenceService,1,130,3,5,0,41,3,8,0,7
DPPR API,asia.corelogic.dppr.service,HubMigrationService,99,478,15,13,16,108,13,13,1,11
DPPR API,asia.corelogic.dppr.service,ReportService,15,246,4,14,0,69,4,12,0,7
DPPR API,asia.corelogic.dppr,DpprApplication,18,0,0,0,5,0,2,0,2,0
DPPR API,asia.corelogic.dppr.config,ClapiGatewayConfiguration,27,0,0,0,7,0,4,0,4,0
DPPR API,asia.corelogic.dppr.config,StatusConfiguration,8,0,0,0,3,0,3,0,3,0
DPPR API,asia.corelogic.dppr.config,SwaggerConfig,64,0,0,0,11,0,3,0,3,0
DPPR API,asia.corelogic.dppr.config,OauthSecurityConfiguration,22,0,0,0,2,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,ResourceInvalidException,3,22,0,0,1,7,1,5,1,5
DPPR API,asia.corelogic.dppr.exception,InvalidReportSectionFieldTypeException,0,11,0,0,0,4,0,2,0,2
DPPR API,asia.corelogic.dppr.exception,InvalidFieldTypeException,25,0,0,0,6,0,4,0,4,0
DPPR API,asia.corelogic.dppr.exception,InvalidUserPermissionException,9,0,0,0,3,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,NotFoundException,9,0,0,0,3,0,2,0,2,0
DPPR API,asia.corelogic.dppr.exception,SpringExceptionHandlerAdvice,187,0,2,0,45,0,21,0,20,0
DPPR API,asia.corelogic.dppr.domain.model.converter,EntityConverter,0,14,0,0,0,4,0,2,0,2
DPPR API,asia.corelogic.dppr.domain.model.converter,DTOConverter,6,8,0,0,1,3,1,1,1,1
DPPR API,asia.corelogic.dppr.domain.model.response,PagedReportResponse,0,108,0,0,0,33,0,3,0,3
DPPR API,asia.corelogic.dppr.annotation.validations,Base64ImageValidator,46,0,8,0,14,0,8,0,4,0
DPPR API,asia.corelogic.dppr.annotation.validations,HexColorValidator,22,21,4,2,8,6,4,2,1,2
DPPR API,asia.corelogic.dppr.annotation.validations,CaseMode,0,24,0,0,0,2,0,1,0,1
DPPR API,asia.corelogic.dppr.annotation.validations,CountryCodeInvalidValidator,0,11,0,2,0,4,0,3,0,2
DPPR API,asia.corelogic.dppr.annotation.validations,PageableValidator,4,19,0,2,2,4,1,3,1,2
DPPR API,asia.corelogic.dppr.annotation.validations,GeneralValidationImpl,87,4,15,0,27,2,12,1,4,1
DPPR API,asia.corelogic.dppr.util,DateTimeUtil,83,35,12,2,19,9,10,5,3,5
DPPR API,asia.corelogic.dppr.util,UUIDGeneratorUtil,5,0,0,0,2,0,2,0,2,0
DPPR API,asia.corelogic.dppr.util,Base64Util,0,15,0,0,0,3,0,1,0,1
DPPR API,asia.corelogic.dppr.adapter,PropertyDetailsGatewayAdapter,29,0,0,0,5,0,2,0,2,0
DPPR API,asia.corelogic.dppr.domain.model.converter.request,PreferenceReportSectionModelConverter,10,25,0,0,4,9,1,3,1,3
DPPR API,asia.corelogic.dppr.domain.model.converter.request,PreferenceModelConverter,0,30,0,0,0,12,0,2,0,2
DPPR API,asia.corelogic.dppr.exception.validations,Field,0,52,0,0,0,8,0,3,0,3
DPPR API,asia.corelogic.dppr.domain.model.converter.response,PreferenceResponseModelConverter,0,38,0,0,0,15,0,2,0,2
DPPR API,asia.corelogic.dppr.controller,HubMigrationController,0,10,0,0,0,2,0,2,0,2
DPPR API,asia.corelogic.dppr.controller,HelloWorldController,0,15,0,0,0,3,0,3,0,3
DPPR API,asia.corelogic.dppr.controller,PreferenceController,5,5,0,0,1,1,1,1,1,1
DPPR API,asia.corelogic.dppr.controller,ReportController,5,25,1,1,1,5,1,4,0,4
DPPR API,asia.corelogic.dppr.domain.model,CountryCode,0,66,0,4,0,11,0,6,0,4
